Name,Source,Status,Image,Description,Birth Year,Death Year,Age,Born in 
Abu Anas al-Shami,http://en.wikipedia.org/wiki/Abu_Anas_al-Shami,Killed,http://lifeinlegacy.com/2004/0918/al-ShamiAbu.jpg,Abu Anas al-Shami ( Arabic : أبو أنس الشامي ‎) was known as Omar Yusef Juma'a ( Arabic : عمر يوسف جمعة ‎) prior to joining Abu Musab al-Zarqawi s Jama'at al-Tawhid wal Jihad group in Iraq .,1969,2004,35,Kuwait
Abu Azzam,http://en.wikipedia.org/wiki/Abu_Azzam,Killed,https://i.ytimg.com/vi/nAgM1sexLK8/hqdefault.jpg,Sheikh Abdullah Abu Azzam al-Iraqi ( pronunction (help·info) AH-boo ah-ZAM [needs IPA] (died September 2005) was an Iraqi .,,2005,,Iraq
Abu Musab al-Zarqawi,http://en.wikipedia.org/wiki/Abu_Musab_al-Zarqawi,Killed,//upload.wikimedia.org/wikipedia/en/thumb/1/14/Abu_Musab_al-Zarqawi_%281966-2006%29.jpg/220px-Abu_Musab_al-Zarqawi_%281966-2006%29.jpg,"Abu Musab al-Zarqawi ( Arabic : أبومصعب الزرقاوي ‎, pronunciation (help·info) ’Abū Muṣ‘ab az-Zarqāwī , Abu Musab from Zarqa) ; October 30, 1966 – June 7, 2006), born Ahmad Fadeel al-Nazal al-Khalayleh ( Arabic : أحمد فضيل النزال الخلايله ‎, ’Aḥmad Faḍīl an-Nazāl al-Ḫalāyla ) was a militant Islamist from Jordan who ran a paramilitary training camp in Afghanistan . He became known after going to Iraq and being responsible for a series of bombings, beheadings, and attacks during the Iraq War .",1966,2006,40,Jordan
Sheik Abd-Al-Rahman,http://en.wikipedia.org/wiki/Sheik_Abd-Al-Rahman,Killed,http://static01.nyt.com/images/2008/03/06/timestopics/Sheik-190.jpg,"Sheik Abd-Al-Rahman (died June 7, 2006), also Shaykh Abd Al-Rahman or Sheik Abd Al-Rahman , was the spiritual advisor to al-Qaeda in Iraq until his death in June 2006. ",,2006,,
Abu Omar al-Kurdi,http://en.wikipedia.org/wiki/Abu_Omar_al-Kurdi,Killed,http://www.longwarjournal.org/images/pics/Rafid%20Ibrahim.JPG,"Abu Omar al-Kurdi , real name Sami Muhammad Ali Said al-Jaaf (1968 - 2007), was a top bombmaker for Abu Musab al-Zarqawi s organization in Iraq , Jama'at al-Tawhid wal-Jihad . He was captured in January 2005. Was executed in September 2007 ( Baghdad ).",1968,2007,39,
Abu Yaqub al-Masri,http://en.wikipedia.org/wiki/Abu_Yaqub_al-Masri,Killed,http://cdn.historycommons.org/images/events/b144_abu_hamza_hook_2050081722-21835.jpg,"Abu Yaqub al-Masri also known as Zakkariya (The Doctor) and labeled "" The Emir of Taji "" (died 31 August 2007) was the organizer of the 23 November 2006 Sadr City bombings . ",,2007,,Egypt
Haitham al-Badri,http://en.wikipedia.org/wiki/Haitham_al-Badri,Killed,,"Haitham Sabah Shaker Mohammed al-Badri ( Arabic : هيثم صباح شاكر محمد البدري ‎) was an Iraqi government official under Saddam Hussein . Badri reportedly masterminded the 2006 al-Askari Mosque bombing . He was killed in an airstrike on August 2, 2007. ",,2007,,
Mohamed Moumou,http://en.wikipedia.org/wiki/Mohamed_Moumou,Killed,http://www.longwarjournal.org/images/Abu-Qaswarah.jpg,"Mohamed Moumou ( Arabic : محمد مومو ‎) (also known as Abu Qaswarah or Abu Sara ) (Born: July 30, 1965 – Died: October 5, 2008) was a Moroccan -born Swedish national who was the No. 2 leader of al-Qaida in Iraq and the senior leader in Northern Iraq. He died in a building in Mosul during a shootout with American troops. ",1965,2008,43,Morocco
Mahir al-Zubaydi,http://en.wikipedia.org/wiki/Mahir_al-Zubaydi,Killed,,"Mahir al-Zubaydi (died October 3, 2008 in Adhamiya , Baghdad , Iraq ), also known as Abu Assad or Abu Rami , was a key al-Qaeda military commander. Zubaydi is believed to have headed the group behind bombings which killed at least 16 people in Baghdad in October 2008. The U.S. military says Zubaydi was suspected in several other attacks against Iraqis and U.S. forces in past years. Zubaydi also took part in a videotaped killing of four Russian diplomats in June 2006. ",,2008,,
Abu Ayyub al-Masri,http://en.wikipedia.org/wiki/Abu_Ayyub_al-Masri,Killed,//upload.wikimedia.org/wikipedia/en/0/0c/Abu_Ayyub_al-Masri.png,"Abu Ayyub al-Masri ( pronunciation (help·info) AH-boo ah-YOOB al MAHSS-ree [needs IPA] أبو أيّوب المصري , ʾAbū ʾAyyūb al-Maṣrī ; translation: ""Father of Ayyub the Egyptian"") (ca. 1968 – 18 April 2010), also known as ( pronunciation (help·info) Abu Hamza al-Muhajir ( أبو حمزة المهاجر ʾAbū Ḥamzah al-Muhāǧir ; translation: ""Father of Hamza the immigrant"") and other aliases (see Real Name ), was an active combatant of al-Qaeda and a senior aide to former leader of Al-Qaeda in Iraq , Abu Musab al-Zarqawi . When Zarqawi was killed in a U.S. airstrike on 7 June 2006, U.S. Pentagon sources identified al-Masri as among the prime candidates to assume direction of the Iraqi insurgency . On 12 June 2006, the al-Qaeda in Iraq website announced that al-Masri had been appointed the new leader of the insurgent group. He was killed during a raid on his house on 18 April 2010.",1968,2010,42,Egypt
Abu Abdullah al-Rashid al-Baghdadi,http://en.wikipedia.org/wiki/Abu_Abdullah_al-Rashid_al-Baghdadi,Killed,http://cdn4.static.ovimg.com/m/0fgx0m/?width=150,"Hamid Dawud Mohamed Khalil al Zawi , most commonly known as Abu Abdullah al-Rashid al-Baghdadi (ابو عبدالله الراشد البغدادي), and also known as Abu Hamza al-Baghdadi and ( pronunciation (help·info) AH-boo OH-mahr ahl bahg-DAHD-ee [needs IPA] Abu Omar al-Qurashi al-Baghdadi , (died 18 April 2010) was the nom de guerre of a possibly fictional leader of the Mujahideen Shura Council (also translated as ""Council of Freedom Fighters"", ""Consultative Council of Mujahedeen"", and ""Council of Holy Warriors"" ), an umbrella organization composed of eight groups that oppose the United States military presence in Iraq, and its successor organisation, the Islamic State of Iraq.",1946,2010,64,Iraq
Huthaifa al-Batawi,http://en.wikipedia.org/wiki/Huthaifa_al-Batawi,Killed,http://img2.wikia.nocookie.net/__cb20140630001934/totalwar-ar/images/7/7a/Huthaifa_al-Batawi.jpg,"Abu Huthaifa al-Batawi was an al-Qaeda in Iraq leader known as ""The Emir of Baghdad "" who died during an attempted jailbreak in Baghdad on May 8, 2011. ",,2011,,
Douglas McCain,http://en.wikipedia.org/wiki/Douglas_McCain,Killed,//upload.wikimedia.org/wikipedia/en/thumb/b/b1/Douglas_McAuthur_McCain_party_photo.jpg/220px-Douglas_McAuthur_McCain_party_photo.jpg,"Douglas McAuthur McCain (January 29, 1981 – August 23/24, 2014) was an American jihadist who was killed in Syria in late August 2014, in an encounter with the Free Syrian Army while fighting for the Islamic State of Iraq and the Levant (ISIL). Originally from San Diego, California, McCain, a graduate from Robbinsdale Cooper High School in New Hope, Minnesota, converted to Islam in 2004, and traveled to Syria by way of Turkey in early 2014. ",1981,2014,33,United States
Abu Abdulrahman al-Bilawi,http://en.wikipedia.org/wiki/Abu_Abdulrahman_al-Bilawi,Killed,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/ISIS_Abu_Abdulrahman_al-Bilawi.PNG/150px-ISIS_Abu_Abdulrahman_al-Bilawi.PNG,"Adnan Ismail Najm , better known by the nom de guerre Abu Abdulrahman al-Bilawi , was a top commander in the Islamic State and the head of its Military Council, prior to his killing by Iraqi security forces on 5 June 2014. ",1971,2014,43,Iraq
Haji Bakr,http://en.wikipedia.org/wiki/Haji_Bakr,Killed,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Haji_Bakr.PNG/200px-Haji_Bakr.PNG,"Samir al-Khlifawi , better known by the nom de guerre Haji Bakr , was a former Iraqi military officer and senior commander of the rebel group Islamic State of Iraq and the Levant (ISIL). He served as the head of the group’s military council and was leader Abu Bakr al-Baghdadi’s top deputy in Syria. He was killed in Syria by Syrian rebels in January 2014 ",,2014,,Iraq
Abdel-Majed Abdel Bary,http://en.wikipedia.org/wiki/Abdel-Majed_Abdel_Bary,Alive,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Abdel_Majed_Abdel_Bary.png/220px-Abdel_Majed_Abdel_Bary.png,"Abdel-Majed Abdel Bary ( Arabic : عبد المجيد عبد الباري ‎) is a British - Egyptian amateur rapper from West London, also known as Lyricist Jinn and L Jinny , and a suspected Islamist militant.",1990,,24,United Kingdom
Abu Omar al-Shishani,http://en.wikipedia.org/wiki/Abu_Omar_al-Shishani,Alive,//upload.wikimedia.org/wikipedia/en/thumb/8/8b/Abu_Omar_al_Shishani.jpg/220px-Abu_Omar_al_Shishani.jpg,"Tarkhan Tayumurazovich Batirashvili ( Georgian : თარხან ბათირაშვილი , born 1986) known by his nom de guerre Shaykh Abu Omar al-Shishani or Omar al-Shishani ( Arabic : أبو عمر الشيشاني ‎, ""Omar the Chechen"") is a commander for the Islamic State in Syria and former sergeant in the Georgian Army . He is of Georgian nationality.",1986,,28,Georgia
Abu Waheeb,http://en.wikipedia.org/wiki/Abu_Waheeb,Alive,http://centerfordocumentation.com/uploaded_files/images/5231cf4479c08.jpg,"Shaker Wahib al-Fahdawi , known as Abu Waheeb (""Father of the Generous"") ( Arabic : أبو وهيب) is a leader of Islamic State in Iraq and the Levant forces in Anbar , Iraq. He is very notorious for the execution of a group of Syrian truck drivers in Iraq in the summer of 2013, as head of the Al Anbar Lions. ",1986,,28,Iraq
Tariq Bin Al Tahar Bin Al Falih Al 'Awni Al Harzi,http://en.wikipedia.org/wiki/Tariq_Bin_Al_Tahar_Bin_Al_Falih_Al_%27Awni_Al_Harzi,Alive,http://i.dailymail.co.uk/i/pix/2014/09/27/1411778854686_Image_galleryImage_Photo_of_Tariq_bin_al_Tah.JPG,Tariq Bin Al Tahar Bin Al Falih Al 'Awni Al Harzi (born 03 May 1982) is a member of the Islamic State of Iraq and the Levant rebel group born in Tunis and a Tunisian citizen. He is one of the earliest terrorists to join ISIL. ,1982,,32,Tunisia
Abu Mohammad al-Adnani,http://en.wikipedia.org/wiki/Abu_Mohammad_al-Adnani,Alive,//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Abu_Mohammed_al-Adnani.PNG/220px-Abu_Mohammed_al-Adnani.PNG,"Shaykh Abu Mohammad al-Adnani al-Shami (Arabic: أبو محمد العدناني ), whose original name was Taha Subhi Falaha , is the official spokesman and a senior leader of the Islamic State of Iraq and the Levant , and its primary conduit for communicating official messages. He is also the emir of ISIL in Syria. ",1977,,37,Syria
Bilal Bosnić,http://en.wikipedia.org/wiki/Bilal_Bosni%C4%87,Alive,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Bilal_Bosni%C4%87_2014.jpg/220px-Bilal_Bosni%C4%87_2014.jpg,"Husein Bilal Bosnić (1972) is one of the leaders of the Salafi movement in Bosnia and Herzegovina, and a prominent member of the Islamic State of Iraq and the Levant (ISIL). He is known for recruiting jihadists from Europe.",1972,,42,Bosnia and Herzegovina
Abu Bakr al-Baghdadi,http://en.wikipedia.org/wiki/Abu_Bakr_al-Baghdadi,Alive,//upload.wikimedia.org/wikipedia/en/thumb/5/55/Al-Furq%C4%81n_Media_Abu_Bakr_al-Baghdadi.png/220px-Al-Furq%C4%81n_Media_Abu_Bakr_al-Baghdadi.png,"Abu Bakr al-Baghdadi , ( Arabic : أبو بكر البغدادي ‎, ʾabū bakri l-baḡdādī ), or Abu Du'a ( أبو دعاء , ʾabū duʿāʾ ) alternatively called Abu Bakr Al-Baghdadi Al-Husseini Al-Qurashi ( أبو بكر البغدادي الحسيني الهاشمي القرشي , ʾabū bakri l-baḡdādī l-ḥusaynī l-hāšimī l-qurašī ) and known to his supporters as Amir al-Mu'minin , Caliph Ibrahim ( خَلِيفَةُ إِبْرَاهِيم , ḵalīfatu ʾibrāhīm ) born as Ibrahim Awad Ibrahim al-Badri is emir, proclaimed as the so called "" caliph "", of the Islamic State of Iraq and the Levant (ISIL), an Islamic extremist group in western Iraq and northeastern Syria , self-described as the ""Islamic State"". ",1971,,43,Iraq
Abu Ayman al-Iraqi,http://en.wikipedia.org/wiki/Abu_Ayman_al-Iraqi,Alive,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/ISIS_Abu_Ayman_al-Iraqi.PNG/150px-ISIS_Abu_Ayman_al-Iraqi.PNG,"Abu Ayman al-Iraqi , also known as Abu Muhannad al-Suweidawi , is a top commander in the Islamic State and the rumored current head of its Military Council. ",1965,,49,Iraq
Abdul Hadi al-Iraqi,http://en.wikipedia.org/wiki/Abdul_Hadi_al-Iraqi,Captured,//upload.wikimedia.org/wikipedia/commons/a/a2/AbdulHadiRFJ.jpg,"Abdul Hadi al Iraqi ( Arabic : عبد الهادي العراقي ‎) is the nom de guerre of Nashwan Abdulrazaq Abdulbaqi ( نشوان عبد الرزاق عبد الباقي ), an alleged senior member of al-Qaeda who is now in US custody at Guantanamo Bay detention camp in Cuba . ",1961,,53,Iraq
Abdul Rahim Muslimdost,http://en.wikipedia.org/wiki/Abdul_Rahim_Muslimdost,Alive,http://pamelageller.com/wp-content/uploads/2014/11/Abdul-Rahim-Muslim-Dost.jpeg,"Abdul Rahim Muslim Dost ( Urdu : عبد الرحیم مسلم دوست ) is an Afghan journalist and jeweller who was held in extrajudicial detention in the United States Guantanamo Bay detention camps , in Cuba . His Guantanamo Internment Serial Number was 561.",1960,,54,Afghanistan
Abu al-Baraa el-Azdi,http://en.wikipedia.org/wiki/Abu_al-Baraa_el-Azdi,Alive,,"Mohammed Abdullah , also known as Abu al-Baraa el-Azdi , is a Yemeni or Saudi militant and member of the Islamic State of Iraq and the Levant . Both names are nom de guerres . He was reported to originally be a preacher who joined ISIL in Syria .",,,,"Yemen, Saudi Arabia"
Abu Ali al-Anbari,http://en.wikipedia.org/wiki/Abu_Ali_al-Anbari,Alive,http://i.ytimg.com/vi/octHqNPcTZo/maxresdefault.jpg,"Abu Ali al-Anbari is a nom de guerre for the Islamic State of Iraq and the Levant (ISIL) governor for territories held by the organization in Syria . Considered the ISIL second-in-command (along with his counterpart Abu Muslim al-Turkmani who holds a similar position in Iraq), he plays a political role of overseeing the local councils and acts as a kind of political envoy. His military role includes directing operations against both other Syrian rebels who oppose President Bashar al-Assad's regime and the Syrian regime itself. ",,,,Iraq
Abu Muslim al-Turkmani,http://en.wikipedia.org/wiki/Abu_Muslim_al-Turkmani,Alive,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/ISIS_Abu_Muslim_al-Turkmani.PNG/150px-ISIS_Abu_Muslim_al-Turkmani.PNG,"Fadel Ahmed Abdullah al-Hiyali , better known by the nom de guerre Abu Muslim al-Turkmani (meaning ""Father of (a) Müslim the Turkmen ""), is the Islamic State of Iraq and the Levant (ISIL) governor for territories held by the organization in Iraq . Considered the ISIL second-in-command (along with his counterpart Abu Ali al-Anbari , who holds a similar position in Syria), he plays a political role of overseeing the local councils and a military role that includes directing operations against opponents of the self-declared Islamic State. ",,,,Iraq
Abu Suleiman al-Naser,http://en.wikipedia.org/wiki/Abu_Suleiman_al-Naser,Unknown,,Abu Suleiman al-Naser was the War Minister of the Islamic State of Iraq (ISI).,,,,Iraq
Abu Yusaf,http://en.wikipedia.org/wiki/Abu_Yusaf,Alive,,Abu Yusaf is a high-level security commander in Islamic State. According to an interview conducted with The Washington Post Abu Yusaf is a nom-de-guerre of a 27-year old European jihadist who joined Islamic State 2 1/2 years ago. ,,,,
Hamid Juma Faris Jouri al-Saeedi,http://en.wikipedia.org/wiki/Hamid_Juma_Faris_Jouri_al-Saeedi,Captured,http://gulfnews.com/polopoly_fs/1.253709!/image/1267953634._gen/derivatives/box_475/1267953634.,"Hamid Juma Faris Jouri al-Saeedi (also known as Hamed Jumma al-Saedi , Abu Humam , Abu Hammam and Abu Rana ) is an Iraqi member of al-Qaeda accused by Iraq's government of being ""the number two al-Qaeda leader [in Iraq] after Abu Ayyub al-Masri ."" He was captured during a joint raid by Iraqi and United States forces on June 19, 2006 either north or southwest of Baquba , Iraq. ",,,,Iraq
Khaled al-Mashhadani,http://en.wikipedia.org/wiki/Khaled_al-Mashhadani,Captured,http://media3.s-nbcnews.com/j/ap/eb4ccd6c-3eef-42dd-86b3-e81cdcde7fed.grid-6x2.jpg,"Khaled al-Mashhadani (full name Khaled Abdul-Fattah Dawoud Mahmoud al-Mashhadani , also known as Abu Shahed ) was a senior operative of al-Qaeda in Iraq . He served as a liaison between al-Qaeda leadership in hiding in Pakistan and Abu Ayyub al-Masri until his capture on July 4, 2007, in Mosul .",,,,
Abu Ali al-Shishani,http://english.al-akhbar.com/node/22839,Alive,http://english.al-akhbar.com/sites/default/files/imagecache/5cols/leading_images/Radwan-Mortada-(3).jpg,,,,,
Abu Ahmed,http://uk.businessinsider.com/isis-leaders-in-american-prison-in-iraq-2014-12?r=US,Alive,,,,,,
