License,Category,License type,Author,First Published in,Link with code using a different licence,Release changes under a different licence,FSF Approval,GPL Compatible,Copyfree Initiative Approval,Debian Approval,Fedora approval,Jurisdiction,Grants patent rights,Patent retaliation clause,Specifies enhanced attribution,Addresses privacy loophole,Includes 'no promotion' feature,Required,Permitted,Forbidden,OSI Profile,Wikipedia Profile,Sources Name,Sources Link,Text
"GNU Library or ""Lesser"" General Public License (LGPL)",Popular and/or with strong communities,Weak copyleft,Free Software Foundation,2007,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not specified,No,No,No,No,Yes,"Disclose Source, Library usage, License and copyright notice","Commercial Use, Distribution, Modification, Patent Grant, Private Use, Sublicensing",Hold Liable,http://opensource.org//licenses/lgpl-license,http://en.wikipedia.org/wiki/GNU_Lesser_General_Public_License,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
Eclipse Public License (EPL-1.0),Popular and/or with strong communities,Weak copyleft,Eclipse Foundation,2004,Yes,Yes,Yes,Yes,Limited,Yes,,New York (USA),Yes,Yes,No,No,Yes,"Disclose Source, License and copyright notice","Commercial Use, Distribution, Modification, Patent Grant, Private Use, Sublicensing",Hold Liable,http://opensource.org//licenses/EPL-1.0,http://en.wikipedia.org/wiki/Eclipse_Public_License,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
GNU Affero General Public License v3 (AGPL-3.0),Uncategorized,Strong copyleft,Free Software Foundation,2007,No,Yes,Yes,Yes,Yes,Yes,Yes,Not specified,Yes,Yes,Yes,Yes,Yes,"Disclose Source, License and copyright notice, Network Use is Distribution, State Changes","Commercial Use, Distribution, Modification, Patent Grant, Private Use","Hold Liable, Sublicensing",http://opensource.org//licenses/AGPL-3.0,http://en.wikipedia.org/wiki/Affero_GPL,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
GNU General Public License (GPL),Popular and/or with strong communities,Strong copyleft,Free Software Foundation,2007,No,Yes,Yes,Yes,Yes,Yes,Yes,Not specified,No,No,No,No,Yes,"Disclose Source, License and copyright notice, State Changes","Commercial Use, Distribution, Modification, Patent Grant, Private Use","Hold Liable, Sublicensing",http://opensource.org//licenses/gpl-license,http://en.wikipedia.org/wiki/GNU_General_Public_License,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
"BSD 2-Clause ""Simplified"" or ""FreeBSD"" license (BSD-2-Clause)",Popular and/or with strong communities,Permissive,Regents of the University of California,1988,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,No,No,No,No,Yes,License and copyright notice,"Commercial Use, Distribution, Modification, Private Use, Sublicensing",Hold Liable,http://opensource.org//licenses/BSD-2-Clause,http://en.wikipedia.org/wiki/BSD_license,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
"BSD 3-Clause ""New"" or ""Revised"" license (BSD-3-Clause)",Popular and/or with strong communities,Permissive,Regents of the University of California,1988,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,No,No,No,No,Yes,License and copyright notice,"Commercial Use, Distribution, Modification, Private Use, Sublicensing","Hold Liable, Use Trademark",http://opensource.org//licenses/BSD-3-Clause,http://en.wikipedia.org/wiki/BSD_license,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
ISC License (ISC),Uncategorized,Permissive,Internet Software Consortium,2003,Yes,Yes,Yes,Yes,No,Yes,Yes,Not specified,No,No,No,No,Yes,License and copyright notice,"Commercial Use, Distribution, Modification, Private Use, Sublicensing",Hold Liable,http://opensource.org//licenses/ISC,http://en.wikipedia.org/wiki/ISC_license,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
MIT license (MIT),Popular and/or with strong communities,Permissive,Massachusetts Institute of Technology,1988,Yes,,Yes,Yes,No,Yes,,Not specified,No,No,No,No,Yes,License and copyright notice,"Commercial Use, Distribution, Modification, Private Use, Sublicensing",Hold Liable,http://opensource.org//licenses/MIT,http://en.wikipedia.org/wiki/MIT_License,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
"Apache License, 2.0 (Apache-2.0)",Popular and/or with strong communities,Permissive,Apache Software Foundation,2004,Yes,Yes,Yes,Yes,No,Yes,Yes,Not specified,Yes,Yes,No,No,Yes,"License and copyright notice, State Changes","Commercial Use, Distribution, Modification, Patent Grant, Private Use, Sublicensing","Hold Liable, Use Trademark",http://opensource.org//licenses/Apache-2.0,http://en.wikipedia.org/wiki/Apache_License,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
Artistic license 2.0 (Artistic-2.0),Other/Miscellaneous,Permissive,The Perl Foundation,2000,Yes,Yes,Yes,Yes,No,Yes,Yes,Not specified,Yes,Yes,No,No,Yes,"License and copyright notice, State Changes","Commercial Use, Distribution, Modification, Private Use, Sublicensing","Hold Liable, Use Trademark",http://opensource.org//licenses/Artistic-2.0,http://en.wikipedia.org/wiki/Artistic_License,"Wikipedia, OSS Watch, Github","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/, http://choosealicense.com/licenses",
Attribution Assurance Licenses (AAL),Redundant with more popular licenses,Permissive,,,,,,,,,,Not specified,No,No,Yes,No,Yes,,,,http://opensource.org//licenses/AAL,,OSS Watch,"http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
NTP License (NTP),Uncategorized,Permissive,,,,,,,,,,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/NTP,,OSS Watch,"http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Non-Profit Open Software License 3.0 (NPOSL-3.0),Uncategorized,Strong copyleft,,,,,,,,,,Not specified,Yes,Yes,No,No,Yes,,,,http://opensource.org//licenses/NPOSL-3.0,,OSS Watch,"http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Simple Public License 2.0 (SimPL-2.0),Uncategorized,Strong copyleft,,,,,,,,,,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/Simple-2.0,,OSS Watch,"http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Reciprocal Public License 1.5 (RPL-1.5),Uncategorized,Strong copyleft,Scott Shattuck,2001,,,No,No,Yes,,,Adams County (Colorado - USA),Yes,Yes,Yes,Yes,Yes,,,,http://opensource.org//licenses/RPL-1.5,http://en.wikipedia.org/wiki/Reciprocal_Public_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Lucent Public License Version 1.02 (LPL-1.02),Redundant with more popular licenses,Permissive,AutorLucent Technologies,2003,,,,,,,,New York (USA),Yes,Yes,No,No,Yes,,,,http://opensource.org//licenses/LPL-1.02,http://es.wikipedia.org/wiki/Lucent_Public_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Common Public License 1.0 (CPL-1.0),Non-reusable,Weak copyleft,IBM,2001,Yes,,Yes,Yes,Yes,Yes,,New York (USA),Yes,Yes,No,No,Yes,,,,http://opensource.org//licenses/CPL-1.0,http://en.wikipedia.org/wiki/Common_Public_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Common Public Attribution License 1.0 (CPAL-1.0),Uncategorized,Weak copyleft,Socialtext,2007,Yes,,Yes,Yes,Limited,,,Northern District of California (California-USA),Yes,Yes,Yes,Yes,Yes,,,,http://opensource.org//licenses/CPAL-1.0,http://en.wikipedia.org/wiki/Common_Public_Attribution_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Mozilla Public License 1.1 (MPL-1.1),Non-reusable,Weak copyleft,Mozilla Foundation,2012,Yes,Yes,Yes,No,No,Yes,Yes,Northern District of California (California-USA),Yes,Yes,No,No,Yes,,,,http://opensource.org//licenses/MPL-1.1,http://en.wikipedia.org/wiki/Mozilla_Public_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Q Public License (QPL-1.0),Other/Miscellaneous,Permissive,Trolltech,1999,No,Yes,Yes,No,,No,No,Norway,No,No,No,No,Yes,,,,http://opensource.org//licenses/QPL-1.0,http://en.wikipedia.org/wiki/Q_Public_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Academic Free License (AFL-3.0),Redundant with more popular licenses,Permissive,Lawrence E. Rosen,2002,Yes,Yes,Yes,Yes,No,,,Not specified,Yes,Yes,No,No,Yes,,,,http://opensource.org//licenses/AFL-3.0,http://en.wikipedia.org/wiki/Academic_Free_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Boost Software License (BSL-1.0),Uncategorized,Permissive,Boost.org,2003,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/BSL-1.0,http://en.wikipedia.org/wiki/Boost_Software_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
"Educational Community License, Version 2.0 (ECL-2.0)",Special purpose,Permissive,Licensing and Policy Summit,2007,Yes,Yes,Yes,Yes,No,,,Not specified,No,Yes,No,No,Yes,,,,http://opensource.org//licenses/ECL-2.0,http://en.wikipedia.org/wiki/Educational_Community_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Eiffel Forum License V2.0 (EFL-2.0),Redundant with more popular licenses,Permissive,NICE,2002,Yes,Yes,Yes,Yes,No,Yes,Yes,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/EFL-2.0,http://en.wikipedia.org/wiki/Eiffel_Forum_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Fair License (Fair),Redundant with more popular licenses,Permissive,James William Pye,2004,Yes,,,Yes,Yes,,,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/Fair,http://en.wikipedia.org/wiki/Fair_Licence,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Historical Permission Notice and Disclaimer (HPND),Redundant with more popular licenses,Permissive,Bruce Dodson,2002,Yes,,Yes,Yes,No,,,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/HPND,http://en.wikipedia.org/wiki/Historical_Permission_Notice_and_Disclaimer,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
Microsoft Public License (MS-PL),Uncategorized,Permissive,Microsoft,2007,,,,,,,,Not specified,Yes,Yes,No,No,Yes,,,,http://opensource.org//licenses/MS-PL,http://en.wikipedia.org/wiki/Shared_source#Microsoft_Public_License_.28Ms-PL.29,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
University of Illinois/NCSA Open Source License (NCSA),Redundant with more popular licenses,Permissive,XMOS,2011,Yes,,Yes,Yes,,,,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/NCSA,http://en.wikipedia.org/wiki/XCore_Open_Source_License,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
zlib/libpng license (Zlib),Other/Miscellaneous,Permissive,"Jean-Loup Gailly, Mark Adler",1995,Yes,Yes,Yes,Yes,No,Yes,Yes,Not specified,No,No,No,No,Yes,,,,http://opensource.org//licenses/Zlib,http://en.wikipedia.org/wiki/Zlib/libpng_license,"Wikipedia, OSS Watch","http://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses, http://oss-watch.ac.uk/apps/licdiff/",
