Crop,Area harvested (km2),Gross Production (m tonnes),Yield per km2 (tonnes),Gross Production value ($bn),Value per km2,SourceName,Source,Wikipedia Page,Image,Main Producer (Quantity),"Main Producer ($), if different","Metric Tonnes Produced (by Main Producer, Quantity)",Status
Cannabis,"6,418",0.07,11,306,"47,678,404",UNODC,https://www.unodc.org/documents/wdr2014/World_Drug_Report_2014_web.pdf,http://en.wikipedia.org/wiki/Cannabis,http://upload.wikimedia.org/wikipedia/commons/2/26/Cannabis_01_bgiu.jpg,Mexico,,"38,760",Drug
Coca (cocaine),"1,337",0.22,164,50,"37,696,335",UNODC,https://www.unodc.org/documents/wdr2014/World_Drug_Report_2014_web.pdf,http://en.wikipedia.org/wiki/Coca,http://upload.wikimedia.org/wikipedia/commons/7/72/Colcoca04.jpg,Columbia,,"231,700 (potential production of sun dried leaves, based on area harvested)",Drug
Opium Poppy,"2,967",0.007,2,18,"5,954,246",UNODC,https://www.unodc.org/documents/wdr2014/World_Drug_Report_2014_web.pdf,http://en.wikipedia.org/wiki/Papaver_somniferum,http://upload.wikimedia.org/wikipedia/commons/2/2a/Slaapbol_R0017601.JPG,Afghanistan,,"5,500 (potential production of oven-dry opium, based on area harvested)",Drug
Barley,"495,260",133,269,18,"36,345",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Barley,http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Hordeum-barley.jpg/170px-Hordeum-barley.jpg,Russia,France,"16,938,000",Legal Crop
Beans,"536,762",24,45,16,"29,808",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Bean,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Painted_Pony_Bean.JPG/275px-Painted_Pony_Bean.JPG,Myanmar,India,"3,900,000",Legal Crop
Cassava,"203,852",263,"1,290",31,"152,071",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Cassava,http://upload.wikimedia.org/wikipedia/commons/3/3e/Manihot_esculenta_-_cross_section_2.jpg,Nigeria,,54000000,Legal Crop
Coffee,"100,398",9,90,11,"109,564",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Coffee_bean,http://upload.wikimedia.org/wikipedia/commons/0/06/Coffee_Beans_Photographed_in_Macro.jpg,Brazil,,"3,037,534",Legal Crop
Grapes,"69,694",67,961,44,"631,331",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Grape,http://upload.wikimedia.org/wikipedia/commons/d/df/ConcordGrapes.jpg,China,,"9,600,000",Legal Crop
Maize,"1,773,795",872,492,140,"78,927",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Maize,http://upload.wikimedia.org/wikipedia/commons/7/7d/Corncobs.jpg,United States of America,,273820066,Legal Crop
Palm,"172,438",300,"1,740",25,"144,980",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Arecaceae,http://upload.wikimedia.org/wikipedia/commons/8/8c/Beccariophoenix.jpg,Indonesia,Indonesia,6560000 (palm kernels),Legal Crop
Potatoes,"192,021",365,"1,901",70,"364,543",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Potato,http://upload.wikimedia.org/wikipedia/commons/a/ab/Patates.jpg,China,,87260000,Legal Crop
Rapeseed,"340,851",65,191,21,"61,610",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Rapeseed,http://upload.wikimedia.org/wikipedia/commons/c/ce/Brassica_napus_2.jpg,Canada,,15409500,Legal Crop
Rice,"1,631,991",720,441,228,"139,707",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Rice,http://upload.wikimedia.org/wikipedia/commons/7/7b/White%2C_Brown%2C_Red_%26_Wild_rice.jpg,China,,"204236000 (rice, paddy)",Legal Crop
Soybeans,"1,049,973",242,230,75,"71,430",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Soybean,http://upload.wikimedia.org/wikipedia/commons/8/82/Soybean.USDA.jpg,United States of America,,82054800,Legal Crop
Sugar Beet,"49,008",270,"5,509",13,"265,263",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Sugar_beet,http://upload.wikimedia.org/wikipedia/commons/5/58/Sugar_beet_field_(4799481326).jpg,Russia,,45057000,Legal Crop
Sugar Cane,"260,886",1833,"7,026",68,"260,650",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Sugarcane,http://upload.wikimedia.org/wikipedia/commons/2/29/Cut_sugarcane.jpg,Brazil,,721077287,Legal Crop
Tea,"32,760",5,153,6,"183,150",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Tea,http://upload.wikimedia.org/wikipedia/commons/7/75/Cameron_Highland_Tea_Plantation_2012.JPG,China,,1700000,Legal Crop
Tobacco,"42,910",7,163,12,"279,655",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Tobacco,http://upload.wikimedia.org/wikipedia/commons/7/78/Native_American_tobacco_flower.jpg,Tobacco,,3200000,Legal Crop
Tomatoes,"48,037",162,"3,372",68,"1,415,575",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Tomato,http://upload.wikimedia.org/wikipedia/commons/9/9d/End_of_Summer_Tomatoes.jpg,China,,50000000,Legal Crop
Vegetables (minor),"189,596",270,"1,424",58,"305,914",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Vegetable,http://upload.wikimedia.org/wikipedia/commons/2/24/Marketvegetables.jpg,,,,Legal Crop
Wheat,"2,154,895",671,311,120,"55,687",FAOSTAT,http://faostat3.fao.org/,http://en.wikipedia.org/wiki/Wheat,http://upload.wikimedia.org/wikipedia/commons/b/b4/Wheat_close-up.JPG,China,,121023000,Legal Crop
