Name,CrunchBase Profile,Role,Companies,Image
Hans-Werner Hector,http://de.wikipedia.org/wiki/Hans-Werner_Hector,Founder,SAP,http://images.forbes.com/media/lists/10/2006/4JKI.jpg
Akio Morita,http://en.wikipedia.org/wiki/Akio_Morita,Founder,Sony,http://www.adeptis.ru/vinci/akio_morita3.jpg
Alexander Graham Bell,http://en.wikipedia.org/wiki/Alexander_Graham_Bell,Founder,AT&T,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Alexander_Graham_Bell.jpg/220px-Alexander_Graham_Bell.jpg
Andrew Viterbi,http://en.wikipedia.org/wiki/Andrew_Viterbi,Founder,Qualcomm,https://alum.mit.edu/sites/default/files/migrated/news/AlumniProfiles/images/Viterbi_Andrew_233x233.jpg
Bob Miner,http://en.wikipedia.org/wiki/Bob_Miner,Founder,Oracle,https://upload.wikimedia.org/wikipedia/commons/5/5d/Robert_Miner.gif
Charles Wang,http://en.wikipedia.org/wiki/Charles_Wang,Founder,CA Technologies,http://www.stonybrook.edu/commcms/wang/images/charles-wang.jpg
Claus Wellenreuther,http://en.wikipedia.org/wiki/Claus_Wellenreuther,Founder,SAP,http://www.colortears.com/wiki/images/b/bd/Claus_Wellenreuther.jpg
David Packard,http://en.wikipedia.org/wiki/David_Packard,Founder,HP,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/David_Packard.jpg/220px-David_Packard.jpg
Dietmar Hopp,http://en.wikipedia.org/wiki/Dietmar_Hopp,Founder,SAP,http://dietmar-hopp-stiftung.de/img/8.jpg
Ed Oates,http://en.wikipedia.org/wiki/Ed_Oates,Founder,Oracle,http://www.orafaq.com/wiki/images/thumb/a/a9/Edward_Oates.jpg/250px-Edward_Oates.jpg
Ernest Harrison,http://en.wikipedia.org/wiki/Ernest_Harrison,Founder,Vodafone,http://salbu.co.za/vodafone/eth.jpg
Fredrik Idestam,http://en.wikipedia.org/wiki/Fredrik_Idestam,Founder,Nokia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Fredrik_Idestam.png/175px-Fredrik_Idestam.png
Gary Hendrix,http://en.wikipedia.org/wiki/Gary_Hendrix,Founder,Symantec,http://programacion1-empresastics.wikispaces.com/file/view/1295831267hNZHUkiQ.jpg/395155278/1295831267hNZHUkiQ.jpg
Gerry Whent,http://en.wikipedia.org/wiki/Gerry_Whent,Founder,Vodafone,http://www.gsmhistory.com/new/wp-content/uploads/2013/03/Fig-24-Chris-Gerry.jpg
Gordon Moore,http://en.wikipedia.org/wiki/Gordon_Moore,Founder,Intel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Gordon_Moore.jpg/220px-Gordon_Moore.jpg
Hasso Plattner,http://en.wikipedia.org/wiki/Hasso_Plattner,Founder,SAP,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Hasso_Plattner.JPG/220px-Hasso_Plattner.JPG
Irwin M. Jacobs,http://en.wikipedia.org/wiki/Irwin_M._Jacobs,Founder,Qualcomm,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Irwin_Jacobs.jpg/220px-Irwin_Jacobs.jpg
Ivan G. Seidenberg,http://en.wikipedia.org/wiki/Ivan_Seidenberg,Founder,Verizon Communications,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ivan_Seidenberg.jpg/220px-Ivan_Seidenberg.jpg
Jim Kimsey,http://en.wikipedia.org/wiki/Jim_Kimsey,Founder,AOL,http://www.nndb.com/people/492/000053333/kimsey.jpg
Klaus Tschira,http://en.wikipedia.org/wiki/Klaus_Tschira,Founder,SAP,http://images.forbes.com/media/lists/10/2006/2UD0.jpg
Leo Mechelin,http://en.wikipedia.org/wiki/Leo_Mechelin,Founder,Nokia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Leo_Mechelin_%28cropped%29.png/220px-Leo_Mechelin_%28cropped%29.png
Leonard Bosack,http://en.wikipedia.org/wiki/Leonard_Bosack,Founder,Cisco Systems,https://upload.wikimedia.org/wikipedia/commons/1/11/Leonard_Bosack.jpg
Masaru Ibuka,http://en.wikipedia.org/wiki/Masaru_Ibuka,Founder,Sony,https://upload.wikimedia.org/wikipedia/en/c/c0/Tobei.gif
Ralph J. Roberts,http://en.wikipedia.org/wiki/Ralph_J._Roberts,Founder,Comcast,http://corporate.comcast.com/images/revised-master-headshot.jpg
Richard Egan,http://en.wikipedia.org/wiki/Richard_Egan_(businessman),Founder,EMC,https://upload.wikimedia.org/wikipedia/commons/3/33/Amb._Richard_Egan.jpg
Robert Noyce,http://en.wikipedia.org/wiki/Robert_Noyce,Founder,Intel,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Noyce1.jpg/220px-Noyce1.jpg
Roger Marino,http://en.wikipedia.org/wiki/Roger_Marino,Founder,EMC,http://start6.mit.edu/sites/default/files/styles/large/public/Marino.png?itok=dY1bcGi4
Ronald Wayne,http://en.wikipedia.org/wiki/Ronald_Wayne,Founder,Apple,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/RonaldWayneMacworld2009.jpg/220px-RonaldWayneMacworld2009.jpg
Sandy Lerner,http://en.wikipedia.org/wiki/Sandra_Lerner,Founder,Cisco Systems,https://upload.wikimedia.org/wikipedia/commons/4/43/Sandy_Lerner.jpg
William Redington Hewlett,http://en.wikipedia.org/wiki/William_Redington_Hewlett,Founder,HP,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Tripp_and_hewlett.jpg/220px-Tripp_and_hewlett.jpg
Adam Grosser,http://www.crunchbase.com/person/adam-grosser,Board of Directors,Cisco Systems,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183270/d5ee3ff100bed53d26937f6abf67e687.jpg"
Al Gore,http://www.crunchbase.com/person/al-gore,"Board of Directors, Advisory Board","Apple, Google","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182202/7aeed9ffa7cd2ab62a89b08370c09911.png"
Alex J. Mandl,http://www.crunchbase.com/person/alex-j-mandl,Board of Directors,Dell,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186689/ceba1a1294a3ec5ea37578e41c5bb5d8.jpg"
Alexander Gounares,http://www.crunchbase.com/person/alexander-gounares,Advisory Board,Microsoft,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185926/da564e7f10656d58cb902edeca042b2a.png"
Alexey Timanovskiy,http://www.crunchbase.com/person/alexey-timanovskiy,Advisory Board,IBM,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183340/b52bff4dfef1be0582416a058e8cad3a.jpg"
Ali Partovi,http://www.crunchbase.com/person/ali-partovi,Advisory Board,Dropbox,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398401323/vykr7agulcqmnzbud9eb.jpg"
Allen Blue,http://www.crunchbase.com/person/allen-blue,Founder,LinkedIn,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398202302/xubakjcf8dydk7gew5h5.png"
Allen Miner,http://www.crunchbase.com/person/allen-miner,Board of Directors,Salesforce,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188403/b134f14862829e108c72f80563c44cbe.jpg"
Ambassador Charlene Barshefsky,http://www.crunchbase.com/person/ambassador-charlene-barshefsky,Board of Directors,Intel,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184350/7968ccff1b3b7dce4b038d01b2ec0a10.jpg"
Amy Banse,http://www.crunchbase.com/person/amy-banse,Board of Directors,Adobe,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181718/0dd5fde798e3151f17a5d59b4eb87f6a.jpg"
Andrea Jung,http://www.crunchbase.com/person/andrea-jung,Board of Directors,Apple,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183285/b1d661c690f50648a5870b1d6f0b28c5.jpg"
Andrew McCollum,http://www.crunchbase.com/person/andrew-mccollum,Founder,Facebook,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184655/9a099c4be293b4affc9a5702f788f30d.jpg"
Anil Khatri,http://www.crunchbase.com/person/anil-khatri,Board of Directors,LinkedIn,
Anita M. Sands,http://www.crunchbase.com/person/anita-m-sands,Board of Directors,Symantec,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184288/4195a30a2f613a38ae47e1bfe692b7f9.jpg"
Ann M. Livermore,http://www.crunchbase.com/person/ann-m-livermore,Board of Directors,HP,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184970/cb40acb39d44caca919c5940e7333942.jpg"
Ann Mather,http://www.crunchbase.com/person/ann-mather,Board of Directors,Google,
Arash Ferdowsi,http://www.crunchbase.com/person/arash-ferdowsi,Founder,Dropbox,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180961/8d37150f6730135e76ce0484796c0723.jpg"
Arthur D. Levinson,http://www.crunchbase.com/person/arthur-d-levinson,Board of Directors,"Apple, Google","http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182671/6e76eb34803943f25fe9baddefeaf992.jpg"
Arthur Kern,http://www.crunchbase.com/person/arthur-kern,Board of Directors,Yahoo,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184098/06d716c882422a6f282f2af333c347d6.jpg"
Arun Sarin,http://www.crunchbase.com/person/arun-sarin,Board of Directors,"Cisco Systems, Vodafone","http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184415/7b312ab8d1528ebbbee772de39251adb.jpg"
Eli Harari,http://www.crunchbase.com/person/aryeh-mergi,Founder,SanDisk,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181152/117212d62237762fd375b18074a05cf7.png"
Barbara Stymiest,http://www.crunchbase.com/person/barbara-stymiest,Board of Directors,BlackBerry,
Ben Silbermann,http://www.crunchbase.com/person/ben-silbermann,Founder,Pinterest,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182680/e6fcda832c8bb89d94e6c061a98313c8.png"
Bengt Holmstrom,http://www.crunchbase.com/person/bengt-holmstrom,Board of Directors,Nokia,
Benjamin Joe,http://www.crunchbase.com/person/benjamin-joe,Advisory Board,IBM,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184146/109fa76444c209930b8949470d4d6332.jpg"
Bert Nordberg,http://www.crunchbase.com/person/bert-nordberg,Board of Directors,BlackBerry,
Bijan Sabet,http://www.crunchbase.com/person/bijan-sabet,Board of Directors,Twitter,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184566/12e1a87f10ab6df3f8d0cc96b3e0293c.jpg"
Bill Campbell,http://www.crunchbase.com/person/bill-campbell,Board of Directors,Apple,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183283/d25b8ef8b86f46be4d0ed8a782d35495.jpg"
Bill Gates,http://www.crunchbase.com/person/bill-gates,Founder,Microsoft,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183828/494df3a4b068e4b4a22d587288f5e5ed.jpg"
Bill Hambrecht,http://www.crunchbase.com/person/bill-hambrecht,Board of Directors,AOL,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1407867493/c0leqeuepptgprnzdfp3.jpg"
Bing Gordon,http://www.crunchbase.com/person/bing-gordon,Board of Directors,Amazon,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184687/4ad3fa8f2e0872aa1af0bfc74a0b194f.png"
Biz Stone,http://www.crunchbase.com/person/biz-stone,Founder,Twitter,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180257/3cae47714a1cd2159ccae17dde81d7bd.png"
Bob Calderoni,http://www.crunchbase.com/person/bob-calderoni,Board of Directors,Juniper Networks,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188648/a78f0935f2b88f7568c043a7510d7bf9.jpg"
Brian Halla,http://www.crunchbase.com/person/brian-halla,Board of Directors,Cisco Systems,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181268/2d36d1150e24cad09d088c8228f7b894.jpg"
Brian Herschaft,http://www.crunchbase.com/person/brian-herschaft,Advisory Board,Microsoft,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398535352/ff7q77bbcqghbwfkggks.png"
Brian Snyder,http://www.crunchbase.com/person/brian-snyder,Advisory Board,IBM,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397631395/e34bd051c8e89888d3cb10bad2c5bf21.jpg"
Bruce Brown,http://www.crunchbase.com/person/bruce-brown,Board of Directors,Nokia,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184998/b40099ce02a96667590220dd3acc6109.jpg"
Bryan Schreier,http://www.crunchbase.com/person/bryan-schreier,Board of Directors,Dropbox,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181987/ecb2fcf0b42124875c4365536818d5f1.jpg"
Byeong-Gi Lee,http://www.crunchbase.com/person/byeong-gi-lee,Board of Directors,Samsung,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180351/9d3e5c044bfa791c17af89c0a1e36fab.gif"
C.Y. Lee,http://www.crunchbase.com/person/c-y-lee,Advisory Board,Microsoft,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188107/4114998f9688bcebde24fb76958048db.jpg"
Candice Olson,http://www.crunchbase.com/person/candice-olson,Advisory Board,AOL,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397631278/dbfbdbaa2c3db28676778bfcfeaf3b17.jpg"
Carol Bartz,http://www.crunchbase.com/person/carol-bartz,Board of Directors,Cisco Systems,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180704/f0e1a47f3a7215199d345114fa389dbb.jpg"
Charles Geschke,http://www.crunchbase.com/person/charles-geschke,Founder,Adobe,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182808/0180cc6f674159d14cfb55a803c2f355.jpg"
Charles H. Noski,http://www.crunchbase.com/person/charles-h-noski,Board of Directors,Microsoft,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180892/0b6e9551b4b0474dd605eac26d1e0b5f.jpg"
Charles Hilliard,http://www.crunchbase.com/person/charles-hilliard,Advisory Board,Dropbox,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181177/3d0cd4998daf2b210e67bd3eb5a6601b.jpg"
Chris Featherstone,http://www.crunchbase.com/person/chris-featherstone,Advisory Board,Microsoft,
Chris Hughes,http://www.crunchbase.com/person/chris-hughes,Founder,Facebook,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180235/4cb0679c4537c0b1f7cc003204ed5446.jpg"
Chris Sacca,http://www.crunchbase.com/person/chris-sacca,Advisory Board,Twitter,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183334/99297e2e1d248811297969a14673f515.jpg"
Clarence Otis Jr.,http://www.crunchbase.com/person/clarence-otis-jr,Board of Directors,Verizon Communications,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187655/696faaebd4882ed51ffdc2f99d701b01.jpg"
Claudia Kotchka,http://www.crunchbase.com/person/claudia-kotchka,Board of Directors,BlackBerry,
Clement Bazan,http://www.crunchbase.com/person/clement-bazan,Advisory Board,Apple,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183961/d14c96b2702ad7ddabf3a84f1d84613d.jpg"
Colin Powell,http://www.crunchbase.com/person/colin-powell,Board of Directors,Salesforce,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184698/afb3898104bcd8cc00b0f7cbb2ff086e.png"
Condoleezza Rice,http://www.crunchbase.com/person/condoleezza-rice,Board of Directors,Dropbox,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1399557725/g0ke0oiwakslaa9fk4qg.jpg"
Craig Ramsey,http://www.crunchbase.com/person/craig-ramsey,Board of Directors,Salesforce,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180697/b1a61e1a7f7afc6042ffeaea9780ac56.png"
Cynthia B. Taylor,http://www.crunchbase.com/person/cynthia-b-taylor,Board of Directors,AT&T,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188549/43339ff0e7719cf062058660d89b7261.jpg"
Dan Rosensweig,http://www.crunchbase.com/person/dan-rosensweig,Board of Directors,Adobe,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183216/5dc6870f99251c54b5e0c393db2d3196.jpg"
Dan Schulman,http://www.crunchbase.com/person/dan-schulman,Board of Directors,Symantec,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397631431/178e539d7fd643a52865b08854fafa6a.jpg"
David B. Yoffie,http://www.crunchbase.com/person/david-b-yoffie,Board of Directors,Intel,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184361/2a5dbf18dfdd2ef91359898f046db689.jpg"
David Bell,http://www.crunchbase.com/person/david-bell-4,Board of Directors,"AOL, Google","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397633251/ae0cf8d2c113fd7c20139aa2ad9eca5f.jpg"
David Cowan,http://www.crunchbase.com/person/david-cowan,Board Observer,LinkedIn,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180311/ba0aea25b710cdb74c75a4656bca0188.jpg"
David E. Kepler,http://www.crunchbase.com/person/david-e-kepler,Board of Directors,Teradata,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185687/21ee8066a8ed4b81857d75358f53306d.jpg"
David Filo,http://www.crunchbase.com/person/david-filo,Founder,Yahoo,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182973/43bb55826ce47768eefdbbb297ba2b2d.jpg"
David Ing,http://www.crunchbase.com/person/david-ing,Advisory Board,Microsoft,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186427/2ee0ef63390e35e8f6dccc1ff29c04d1.jpg"
David M. Thomas,http://www.crunchbase.com/person/david-m-thomas,Board of Directors,IBM,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189156/1e819642efe98b83065eafe2e8088430.jpg"
David Mahoney,http://www.crunchbase.com/person/david-mahoney,Board of Directors,Symantec,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180375/4e1965ca761339af2b8036d959e5d798.jpg"
David Marquardt,http://www.crunchbase.com/person/david-marquardt,Board of Directors,Microsoft,
David Pottruck,http://www.crunchbase.com/person/david-pottruck,Board of Directors,Intel,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181853/6a9635043f85bd451f4eac26453e1839.jpg"
David Rosenblatt,http://www.crunchbase.com/person/david-rosenblatt,Board of Directors,Twitter,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188595/9a4a18167ab5bb6344a9234676fbb149.jpg"
David Strohm,http://www.crunchbase.com/person/david-strohm,Board of Directors,EMC,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185145/e07c827e252323d855edab3f0467e00b.jpg"
David Sze,http://www.crunchbase.com/person/david-sze,Board of Directors,LinkedIn,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180763/8d800ba3758666436e58fa474b96bf9c.jpg"
David Ting,http://www.crunchbase.com/person/david-ting,Advisory Board,IBM,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181950/b471b0532fd24c0de3276a68b6451bd5.jpg"
Denise Fekete,http://www.crunchbase.com/person/denise-fekete,Advisory Board,BlackBerry,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182519/b0b4c157485c371989d4787035a5a755.jpg"
Dennis Johnson,http://www.crunchbase.com/person/dennis-johnson,Advisory Board,IBM,
Dick Kramlich,http://www.crunchbase.com/person/dick-kramlich,Board of Directors,Juniper Networks,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181402/759567c72dedb16a29cc150fcea7742b.jpg"
Dileepan Siva,http://www.crunchbase.com/person/dileepan-siva,Advisory Board,eBay,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1404750936/fckhf60dte55bm3rqmta.jpg"
Dina Dublon,http://www.crunchbase.com/person/dina-dublon,Board of Directors,Microsoft,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180890/a2c11b0a89e5c839fa24e96857a3c4ff.jpg"
Don Valentine,http://www.crunchbase.com/person/don-valentine,Board of Directors,"Apple, Cisco Systems, Oracle","http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180421/b1e1df6f5ca2e0311335ecf1a64b8e53.jpg"
Dona Crawford,http://www.crunchbase.com/person/dona-crawford,Advisory Board,Microsoft,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188431/4765e07e827496ccb12fca3d4fc88d87.jpg"
Donald E. Graham,http://www.crunchbase.com/person/donald-e-graham,Board of Directors,Facebook,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182764/071855f1ab96261849216b36ebb87ba0.jpg"
Donald J. Carty,http://www.crunchbase.com/person/donald-j-carty,Board of Directors,Dell,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186678/e2f88b460f2ecb1c931d0e3ffd0c4249.jpg"
Donald T. Nicolaisen,http://www.crunchbase.com/person/donald-t-nicolaisen,Board of Directors,Verizon Communications,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187090/7deee15a9cb871138e10915847bf6f98.jpg"
Dong-Min Yoon,http://www.crunchbase.com/person/dong-min-yoon,Board of Directors,Samsung,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180347/82f33bdf62eabb9f491089de9150d296.gif"
Hector Garcia Molina,http://www.crunchbase.com/person/dr-hector-garcia-molina,Board of Directors,Oracle,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188226/5ffccd88dc49558cc2482bd6af85fc37.jpg"
James Cash,http://www.crunchbase.com/person/dr-james-cash,Board of Directors,Microsoft,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185943/2c72424aa43593b2250d64946f7baa10.jpg"
James D. Plummer,http://www.crunchbase.com/person/dr-james-d-plummer,Board of Directors,Intel,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184963/63cdfd4e3cb505ffe7446ecada20c6cf.jpg"
Jeffrey Ullman,http://www.crunchbase.com/person/dr-jeffrey-ullman,Advisory Board,Google,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185490/0e9daa0e23765a78eacc7d6dfcf522ce.png"
Dr. Makimoto,http://www.crunchbase.com/person/dr-makimoto,Advisory Board,Sony,
Drew Houston,http://www.crunchbase.com/person/drew-houston,Founder,Dropbox,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1409434033/d98moinzulrm27hlnktt.jpg"
Dustin Moskovitz,http://www.crunchbase.com/person/dustin-moskovitz,Founder,Facebook,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180232/394460aa1db8e18c4eddd5af40cd757c.jpg"
Ed Kozel,http://www.crunchbase.com/person/ed-kozel,Board of Directors,Yahoo,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184102/75facbe2fa95960673fe0cc324d1efe5.jpg"
Eddy Hartenstein,http://www.crunchbase.com/person/eddy-hartenstein,Board of Directors,SanDisk,
Eduardo G. Mestre,http://www.crunchbase.com/person/eduardo-g-mestre,Board of Directors,Comcast,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180645/e5c07c0436617b3ff5f27f720828c98f.png"
Eduardo Saverin,http://www.crunchbase.com/person/eduardo-saverin,Founder,Facebook,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185511/03551713557f6450b97e81990e1ee92e.jpg"
Edward W. Barnholt,http://www.crunchbase.com/person/edward-w-barnholt,Board of Directors,Adobe,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185436/6693246d22bc758667f7422295d2ceba.jpg"
Elizabeth Doherty,http://www.crunchbase.com/person/elizabeth-doherty,Board of Directors,Nokia,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185015/174678f963ee0a087fa9471c4078fd76.jpg"
Elizabeth Nelson,http://www.crunchbase.com/person/elizabeth-nelson,Board of Directors,Nokia,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185021/741748a42ca7b5db72050cd7cdd9abaf.jpg"
Eric Hippeau,http://www.crunchbase.com/person/eric-hippeau,Board of Directors,Yahoo,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180766/6e72e7afc43586811adf600520c330ba.jpg"
Eric Ly,http://www.crunchbase.com/person/eric-ly,Founder,LinkedIn,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183944/ba35be7e3a9bc7b9732fc7ccd25e250c.jpg"
Eric Schmidt,http://www.crunchbase.com/person/eric-schmidt,Board of Directors,Apple,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180972/9a19b0609d16108c0c7cbd3af9e00875.jpg"
Erskine Bowles,http://www.crunchbase.com/person/erskine-b-bowles,Board of Directors,Facebook,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187062/3ab015fa000495dedc86d80c7c0b37a6.jpg"
