Name,CrunchBase Profile,Role,Companies,Image
Etienne Castiaux,http://www.crunchbase.com/person/etienne-castiaux,Advisory Board,Oracle,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184034/ee5ebb611285ee822002a5f94f78c92c.jpg"
Evan Sharp,http://www.crunchbase.com/person/evan-sharp,Founder,Pinterest,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398428509/kf9txjocuex5eowaqjwf.png"
Evan Williams,http://www.crunchbase.com/person/evan-williams,Founder,Twitter,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180253/a2a33abf8cacdb3251ab29286c2e7093.png"
Eve Burton,http://www.crunchbase.com/person/eve-burton,Board of Directors,AOL,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182653/cfdd00d85586a8456fd4b1a08135c699.jpg"
Frank Calderoni,http://www.crunchbase.com/person/frank-calderoni,Board of Directors,Adobe,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182799/47dbb265ba0f5a65e2bcd38141db8398.jpg"
Frank Marshall,http://www.crunchbase.com/person/frank-marshall,Board of Directors,Juniper Networks,
Frank Yeary,http://www.crunchbase.com/person/frank-yeary,Board of Directors,Intel,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183718/55fa4a42a11891088703f8a0538657a5.jpg"
Fred Kauber,http://www.crunchbase.com/person/fred-kauber,Advisory Board,IBM,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183859/2ed6ba645353d1a3f63bc09d67105e4d.jpg"
Fred Reynolds,http://www.crunchbase.com/person/fred-reynolds,Board of Directors,AOL,
G. Kennedy Thompson,http://www.crunchbase.com/person/g-kennedy-thompson,Board of Directors,HP,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181972/775401f23d79d62a9585c867576576b2.jpg"
Gareth C.C. Chang,http://www.crunchbase.com/person/gareth-c-c-chang,Board of Directors,Apple,
Gary Reiner,http://www.crunchbase.com/person/gary-reiner,Board of Directors,HP,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184181/9876bb631e5968b2a3e96abf1dfb2d34.jpg"
Gary Wilson,http://www.crunchbase.com/person/gary-wilson,Board of Directors,Yahoo,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184103/eff711df887afde0ab77ba0e98144e5f.jpg"
Gee-Sung Choi,http://www.crunchbase.com/person/gee-sung-choi,Board of Directors,Samsung,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180343/974e956948a0e2f54f844e36a826e433.gif"
Geoffrey Moore,http://www.crunchbase.com/person/geoffrey-moore-2,Advisory Board,Salesforce,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187215/d3f4847212db4b70854ffa659343417f.jpg"
Gerald L. Hassell,http://www.crunchbase.com/person/gerald-l-hassell,Board of Directors,Comcast,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180642/1d9d3bd7d3e85f537847061f42969335.jpg"
Gerry Laybourne,http://www.crunchbase.com/person/geraldine-b-laybourne,Board of Directors,Symantec,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180273/3523fa76a67cc91efafc9e81bf4d9277.jpg"
Gerard J. Kleisterlee,http://www.crunchbase.com/person/gerard-j-kleisterlee,Board of Directors,Dell,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186685/825dce5181d75f881af6c33ca4ed3b12.jpg"
Gervase Clifton-Bligh,http://www.crunchbase.com/person/gervase-clifton-bligh,Advisory Board,Amazon,
Gilbert F. Amelio,http://www.crunchbase.com/person/gilbert-f-amelio,"Board of Directors, Advisory Board","Apple, AT&T","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182795/8ee5a69b507766978d037cf4d602c621.jpg"
Gilles d’Aramon,http://www.crunchbase.com/person/gilles-daramon,Board of Directors,Cisco Systems,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181588/4500ea67750e464e00f0417c0e2efcde.jpg"
Greg Brown,http://www.crunchbase.com/person/greg-brown,Board of Directors,Cisco Systems,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185486/2fa6740abcf453390470f9bfa03f24a2.jpg"
Greg Tarr,http://www.crunchbase.com/person/greg-tarr,Advisory Board,Vodafone,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184619/c651a00cb1a7010bbafc3555f1b6b89f.jpg"
Gregory D. Wasson,http://www.crunchbase.com/person/gregory-d-wasson,Board of Directors,Verizon Communications,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182232/07aea7bd7d8dce44675dce2f87d1275c.jpg"
Haavard Nord,http://www.crunchbase.com/person/haavard-nord,Advisory Board,Nokia,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186342/3ca8cbafe67be0554a77580cb8428b43.jpg"
Hadi Partovi,http://www.crunchbase.com/person/hadi-partovi,Advisory Board,"Dropbox, Facebook","http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180545/c62f1c4a891f887a733be25fca78bc55.jpg"
Han-joong Kim,http://www.crunchbase.com/person/han-joong-kim,Board of Directors,Samsung,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180349/5682453665123b5ac5d7784a5c550bcd.gif"
Heidi S. Messer,http://www.crunchbase.com/person/heidi-s-messer,Advisory Board,Dropbox,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398907051/c2j4vu4erfw4egttz9pq.jpg"
Helge Lund,http://www.crunchbase.com/person/helge-lund,Board of Directors,Nokia,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185018/fe31643add8c1a4692c2785c47274cf8.jpg"
Helmut Panke,http://www.crunchbase.com/person/helmut-panke,Board of Directors,Microsoft,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180892/0c5a64f325068c75bb58c21541d1d06b.jpg"
Henning Kagermann,http://www.crunchbase.com/person/henning-kagermann,Board of Directors,Nokia,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185016/c5594ddef168f5be30fd5117198e7322.jpg"
Henry Schacht,http://www.crunchbase.com/person/henry-schacht,Board of Directors,AT&T,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185261/08026482fa2056f861a59fff3dcc0cf5.jpg"
Hing Wong,http://www.crunchbase.com/person/hing-wong,Advisory Board,IBM,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184177/3afe790bc756e469fe0a3efbe0f0fe7c.jpg"
Howard Green,http://www.crunchbase.com/person/howard-green,Board of Directors,Apple,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1401967172/vjxe5kunu3ywvceokaex.jpg"
Howard Schultz,http://www.crunchbase.com/person/howard-schultz,Board of Directors,eBay,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398706968/y5jwguyyl7dfqkhpxczu.jpg"
Hugh B. Price,http://www.crunchbase.com/person/hugh-b-price,Board of Directors,Verizon Communications,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187656/11259e6a899d5a3bbf4eee748759b79c.jpg"
Igor R. Agamirzian,http://www.crunchbase.com/person/igor-r-agamirzian,Board of Directors,Microsoft,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183835/4391f6ac2566841478ad688006fcb39d.jpg"
Byung-Chull Lee,http://www.crunchbase.com/person/ilbok-lee,Founder,Samsung Electronics,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184074/d18673e165c53725dde010288899dd03.jpg"
In-Ho Lee,http://www.crunchbase.com/person/in-ho-lee,Board of Directors,Samsung,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180348/65ebf61ebdaeaef05095ea1bd4f85c1d.gif"
Inmaculada Martinez,http://www.crunchbase.com/person/inmaculada-martinez,Advisory Board,Nokia,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184706/c22d40a40c9dc6153b0754ec2a86237c.jpg"
Isabel Marey-Semper,http://www.crunchbase.com/person/isabel-marey-semper,Board of Directors,Nokia,
Jack Dorsey,http://www.crunchbase.com/person/jack-dorsey,Founder,Twitter,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398125162/gpykfzghdzmruoj67qjf.jpg"
Jaime Chico Pardo,http://www.crunchbase.com/person/jaime-chico-pardo,Board of Directors,AT&T,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188548/45dd6cac7d9a1d422095e1fabacbce47.jpg"
James E. Daley,http://www.crunchbase.com/person/james-e-daley,Board of Directors,Adobe,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185453/0f1af0b9159e3f4f22950578cff46dfe.jpg"
James Gemmell,http://www.crunchbase.com/person/james-gemmell,Advisory Board,Cisco Systems,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185974/4c901a7a3161f16d5d13a6d794f94834.jpg"
James Sullivan,http://www.crunchbase.com/person/james-sullivan,Advisory Board,SAP,
James W. Owens,http://www.crunchbase.com/person/james-w-owens,Board of Directors,IBM,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187094/9f46df4392c6fc4a12925a9427a0cb5e.jpg"
Jan Koum,http://www.crunchbase.com/person/jan-koum,Board of Directors,Facebook,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180330/a95c4c82ec27cf52a9c7ad7a7d35aabd.jpg"
Janet F. Clark,http://www.crunchbase.com/person/janet-f-clark,Board of Directors,Dell,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186681/960392fb404700025f6864b1cf9c9e3e.jpg"
Jay Samit,http://www.crunchbase.com/person/jay-samit,Advisory Board,LinkedIn,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185507/62cc766fb58634c28088b7166a2e84ad.jpg"
Jean-Luc Vaillant,http://www.crunchbase.com/person/jean-luc-vaillant,Founder,LinkedIn,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180528/8e316fd86691d1db045b9f61b3ffdace.jpg"
Jeff Bezos,http://www.crunchbase.com/person/jeff-bezos,Founder,Amazon,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180893/50f2da87df0260841777569869a94875.jpg"
Jeffrey Glass,http://www.crunchbase.com/person/jeffrey-glass,Board Observer,LinkedIn,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187087/a3068cb4c98b5a3da333bc23241b4b1f.jpg"
Jerry Yang,http://www.crunchbase.com/person/jerry-yang,"Board of Directors, Founder","Cisco Systems, Yahoo","http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182972/0dab3641de0b6bbfd41511c1d990e31f.jpg"
Jim Breyer,http://www.crunchbase.com/person/jim-breyer,Board of Directors,"Dell, Facebook","http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1403246352/gonfjikej9vpyrkhl4s4.jpg"
Jim Gibbons,http://www.crunchbase.com/person/jim-gibbons,Board of Directors,Cisco Systems,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183197/5267cde0365e883d43f3d5b7ae612ffd.jpg"
Jim Wiatt,http://www.crunchbase.com/person/jim-wiatt,Board of Directors,AOL,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398793764/oa0xqftzoqhuwbee4io6.jpg"
John Dickey,http://www.crunchbase.com/person/john-dickey,Advisory Board,IBM,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184551/88052900925b2a131ba5c8b442bf0b32.jpg"
John Doerr,http://www.crunchbase.com/person/john-doerr,Board of Directors,"Amazon, Google","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180970/b2ce826ad6e371cb1865848f8d362e06.jpg"
John Donahoe,http://www.crunchbase.com/person/john-donahoe,Board of Directors,Intel,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180266/298e8bae9c9c0ea30a4496fd82fac213.png"
John L. Hennessy,http://www.crunchbase.com/person/john-l-hennessy,Board of Directors,"Cisco Systems, Google","http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182671/3369b83588f3d4e3e9daf3cbeeb96e57.jpg"
John L. Thornton,http://www.crunchbase.com/person/john-l-thornton,Board of Directors,Intel,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185478/3da329a38880f46ec8c2e233afc7c92b.jpg"
John Maeda,http://www.crunchbase.com/person/john-maeda,"Board of Directors, Advisory Board",eBay,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182749/77b84e5036e9eb94f50e29b631a0ff3a.jpg"
John Seely Brown,http://www.crunchbase.com/person/john-seely-brown,Board of Directors,Amazon,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180772/f57a3a825b423708df14e38ba70e2d76.jpg"
John T. Chambers,http://www.crunchbase.com/person/john-t-chambers,Board of Directors,Cisco Systems,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185862/a5c1a3f3eb2d662e5f671120574a5778.jpg"
John W. Thompson,http://www.crunchbase.com/person/john-w-thompson,Board of Directors,Microsoft,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184839/637a70e35e3d87dda6744cb92a0ed38c.png"
John Warnock,http://www.crunchbase.com/person/john-warnock,Founder,Adobe,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182808/aa1b04d00f78812848d080fae5fe0d14.jpg"
Johnathan A. Rodgers,http://www.crunchbase.com/person/johnathan-a-rodgers,Board of Directors,Comcast,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180536/ae598e8b168f6eaa1ded8c057654fce2.jpg"
Joi Ito,http://www.crunchbase.com/person/joi-ito,"Board of Directors, Advisory Board","Sony, Twitter","http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180288/ed348b43eb3955195b5bf96f4db7e395.jpg"
Jon C. Madonna,http://www.crunchbase.com/person/jon-c-madonna,Board of Directors,AT&T,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188550/a1d54755b9dcb3a60e1fe0802e7040ac.jpg"
Jonathan Feinberg,http://www.crunchbase.com/person/jonathan-feinberg,Advisory Board,IBM,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181327/9e19bdb66ab4f6c825237eca9ca6f04e.jpg"
Jonathan Roberts,http://www.crunchbase.com/person/jonathan-roberts,Board of Directors,Microsoft,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184742/cf571ef38deb2ceb4b4335fbbf9aa011.png"
Joseph J. Collins,http://www.crunchbase.com/person/joseph-j-collins,Board of Directors,Comcast,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180632/493b09ef38f2039fb1ba14a4808b2882.jpg"
Joseph Neubauer,http://www.crunchbase.com/person/joseph-neubauer,Board of Directors,Verizon Communications,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181892/9d219eeb33b6ed3e9d9110602de1670f.jpg"
Jouko Karvinen,http://www.crunchbase.com/person/jouko-karvinen,Board of Directors,Nokia,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185018/7f411f1463eb062e366f916f64c0287a.jpg"
Joyce M. Roche,http://www.crunchbase.com/person/joyce-m-roche,Board of Directors,AT&T,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188547/5a16a8ded09dd274f542c419537b41f8.jpg"
Ju-Hwa Yoon,http://www.crunchbase.com/person/ju-hwa-yoon,Board of Directors,Samsung,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180345/5468a82e22bd72f853614105db431a85.gif"
Judith Rodin,http://www.crunchbase.com/person/judith-rodin,Board of Directors,Comcast,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180651/107cf9559b9b6e8827b4933d02776cc3.jpg"
Judy C. Lewent,http://www.crunchbase.com/person/judy-c-lewent,Board of Directors,Dell,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185622/fa2b9e0467bae1d0c9666b575e619174.jpg"
Justin Moore,http://www.crunchbase.com/person/justin-moore,Advisory Board,HP,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181731/9844b036db1509148de1adc663e5c3b0.jpg"
Kanwaldeep 'KD Singh Arneja,http://www.crunchbase.com/person/kanwaldeep-kd-singh-arneja,Advisory Board,IBM,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182533/3cac540e67612f82a755b11b4745643e.jpg"
Karen Dykstra,http://www.crunchbase.com/person/karen-dykstra,Board of Directors,AOL,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185829/5e6f358e7f01080904809b9965ee4502.jpg"
Karl Jacob,http://www.crunchbase.com/person/karl-jacob,Advisory Board,Facebook,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398140766/fourgi8s9qek8iurnngk.png"
Kartik Raghavan,http://www.crunchbase.com/person/kartik-raghavan,Advisory Board,Microsoft,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1405440435/bu93iceaomcehmgbdfjj.jpg"
Kathryn A. Tesija,http://www.crunchbase.com/person/kathryn-a-tesija,Board of Directors,Verizon Communications,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181342/230a2a7ee9bac21a4c440572d1793bb6.jpg"
Kelly Barlow,http://www.crunchbase.com/person/kelly-barlow,Board of Directors,Adobe,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185435/e145c02f38cac0188014f263dc41d0ce.jpg"
Kenneth J. Bacon,http://www.crunchbase.com/person/kenneth-j-bacon,Board of Directors,Comcast,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180629/d64858cf2806898c36cac094bfc2007b.jpg"
Kenneth M. Duberstein,http://www.crunchbase.com/person/kenneth-m-duberstein,Board of Directors,Dell,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186683/2e5555c99d82cd613fdaa77a5608bc2c.jpg"
Kevin DeNuccio,http://www.crunchbase.com/person/kevin-denuccio,Board of Directors,SanDisk,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183269/0098f45d0f7bf152511ef61755acb49e.jpg"
Klaus S. Luft,http://www.crunchbase.com/person/klaus-s-luft,Board of Directors,Dell,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186686/3dba8334278800f114b1eb18cde4047e.jpg"
Konstantin Guericke,http://www.crunchbase.com/person/konstantin-guericke,Founder,LinkedIn,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180680/fe5613b95a5f531759391f389ac117d7.jpg"
Kristina M. Johnson,http://www.crunchbase.com/person/kristina-m-johnson,Board of Directors,Cisco Systems,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187247/1583223e20004e446f39f4c5cb17637e.jpg"
Larry Ellison,http://www.crunchbase.com/person/larry-ellison,Founder,Oracle,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183762/f62081c1a5a38c28b1559cb66e2a9c41.jpg"
Larry Page,http://www.crunchbase.com/person/larry-page,Founder,Google,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180974/2b44733d037d6e968a8397535affbacd.jpg"
Larry R. Carter,http://www.crunchbase.com/person/larry-r-carter,Board of Directors,Cisco Systems,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187237/7184f33e5dad68e4aa5b48568b513fc2.jpg"
Laura Conigliaro,http://www.crunchbase.com/person/laura-conigliaro,Board of Directors,Dell,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185850/62006aaf96325100f73f58a408f14653.jpg"
Laura Desmond,http://www.crunchbase.com/person/laura-desmond,Board of Directors,Adobe,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181449/e1a4a65c3a0deb616598640445a6f287.png"
Laura Tyson,http://www.crunchbase.com/person/laura-tyson,Board of Directors,AT&T,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185988/d86a5acdd54089bc8dbc0d46fbdf59f9.png"
Maggie Wilderotter,http://www.crunchbase.com/person/maggie-wilderotter,Board of Directors,Yahoo,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184103/e597ed3fdd8afe6f00da94b2389eab24.jpg"
Maor David-Pur,http://www.crunchbase.com/person/maor-david-pur,Advisory Board,Microsoft,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397632471/7f2dc1e1c03cb0373c4398c0a25df769.png"
Marc Andreessen,http://www.crunchbase.com/person/marc-andreessen,Board of Directors,"eBay, Facebook, HP","http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398196426/a8yzw5xnrry3bxwqsbcn.jpg"
Marc Benioff,http://www.crunchbase.com/person/marc-benioff,"Board of Directors, Founder","Cisco Systems, Salesforce","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1408653922/wq3kmhdv0e66anf9vfr8.jpg"
Marc Seriff,http://www.crunchbase.com/person/marc-seriff,Founder,AOL,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183433/9c424624ec5a1aba4ab1b9d67ea3f8bd.png"
Maria M. Klawe,http://www.crunchbase.com/person/maria-m-klawe,Board of Directors,Microsoft,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180891/58231aa11bbd71625fd053e69fbf761a.jpg"
Marjorie Scardino,http://www.crunchbase.com/person/marjorie-scardino,Board of Directors,Twitter,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185098/ae3c92225b6b6d6c2efaa575d9c023e1.jpg"
Mark Bailey,http://www.crunchbase.com/person/mark-bailey,Board of Directors,Twitter,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1399479612/hxqyxfnounrryqwokcc1.png"
Mark Kvamme,http://www.crunchbase.com/person/mark-kvamme,Board of Directors,LinkedIn,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398125570/lqudehumkpwnzsfmd0bw.png"
Mark Zuckerberg,http://www.crunchbase.com/person/mark-zuckerberg,Founder,Facebook,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180230/2338e096e24c44d60976f1bb30510301.jpg"
Marshall Turner,http://www.crunchbase.com/person/marshall-turner,Board of Directors,Intel,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188496/8fb3290cc85017089e6b7843c79ccb71.jpg"
Mårten Mickos,http://www.crunchbase.com/person/marten-mickos,Board of Directors,Nokia,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398406980/ijgxgzhmnqob4cuqypg6.jpg"
Martha Frances Keeth,http://www.crunchbase.com/person/martha-frances-keeth,Board of Directors,Verizon Communications,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181239/0795cb62db9a370e0387f4e335fcc454.jpg"
Matthew K. Rose,http://www.crunchbase.com/person/matthew-k-rose,Board of Directors,AT&T,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188549/a18a75dfa4d577dda85a53850635fda8.jpg"
Maynard Webb,http://www.crunchbase.com/person/maynard-webb,Board of Directors,"Salesforce, Yahoo","http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183659/cf1e644596a2362c91594f14c40cefe0.jpg"
Melanie L. Healey,http://www.crunchbase.com/person/melanie-l-healey,Board of Directors,Verizon Communications,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187581/d24a04fc89a7f5e7b042eec250bb658c.jpg"
Mercedes Johnson,http://www.crunchbase.com/person/mercedes-johnson,Board of Directors,Juniper Networks,
Michael B. McCallister,http://www.crunchbase.com/person/michael-b-mccallister,Board of Directors,AT&T,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188545/4944a75e3c09b4304adabaa8f0568424.jpg"
Michael Brown,http://www.crunchbase.com/person/michael-brown-2,Board of Directors,Symantec,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184256/683befe8e9bb27c808a2fbf759c1806e.jpg"
Michael Capellas,http://www.crunchbase.com/person/michael-capellas,Board of Directors,"Cisco Systems, EMC","http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187234/e784a2d111cca80de6e4fafb8ffe244e.jpg"
Michael Dell,http://www.crunchbase.com/person/michael-dell,Founder,Dell,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398369476/nh1s8r8fb7ydprxrmldh.png"
Michael Frankel,http://www.crunchbase.com/person/michael-frankel,Board of Directors,Cisco Systems,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1407924125/nwpwbgalq8muvzi6stwe.png"
