Name,CrunchBase Profile,Role,Companies,Image
Michael Howse,http://www.crunchbase.com/person/michael-howse,Advisory Board,Qualcomm,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398704411/ykt9tdmezqxpiruwe51j.jpg"
Michael Moritz,http://www.crunchbase.com/person/michael-moritz,Board of Directors,"Google, LinkedIn, Yahoo","http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182287/729a87406a159cfb17e24880c63c8151.jpg"
Michael Powell,http://www.crunchbase.com/person/michael-powell-2,Board of Directors,AOL,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185830/e47d1a4772c51a363820b3a28d5053cd.jpg"
Michael Psarouthakis,http://www.crunchbase.com/person/michael-psarouthakis,Advisory Board,eBay,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184590/fa180bc86f5747948f226972b348fb24.jpg"
Michael R. Cannon,http://www.crunchbase.com/person/michael-r-cannon,Board of Directors,Adobe,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183974/c4c8af3e1d00ec909fe4920f2624518b.jpg"
Michael Tanne,http://www.crunchbase.com/person/michael-tanne,Advisory Board,LinkedIn,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180583/e1250bd9e7a7783194c519c5c8423d7a.jpg"
Michel Combes,http://www.crunchbase.com/person/michel-combes,Board of Directors,Vodafone,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186201/a05aa382b8310d6e99b4ef704a8c3d00.jpg"
Michele Burns,http://www.crunchbase.com/person/michele-burns,Board of Directors,Comcast,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187224/c1ef5f5da1322d03745d32ae936e25e5.jpg"
Mike Lazaridis,http://www.crunchbase.com/person/mike-lazaridis,Founder,BlackBerry,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184223/b9a8bde2c577f0171dca06f676ab3452.jpg"
Mike McCue,http://www.crunchbase.com/person/mike-mccue,Board of Directors,Twitter,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398413541/hxkldk6f2p4uda6vkarr.jpg"
Miles Gilburne,http://www.crunchbase.com/person/miles-gilbourne,Board of Directors,AOL,
Millard Drexler,http://www.crunchbase.com/person/millard-drexler,Board of Directors,Apple,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183284/85b7787c23b77456e4d0956b8003344c.jpg"
Misty Locke,http://www.crunchbase.com/person/misty-locke,Advisory Board,"Google, Yahoo","http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184736/a9c914d9967b5b5cf2d02c391dbcb2f7.jpg"
Myrtle S. Potter,http://www.crunchbase.com/person/myrtle-s-potter,Board of Directors,Amazon,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180971/435f671213d3d9f69f05fac67f081565.png"
Shiva Shivakumar,http://www.crunchbase.com/person/n-shivakumar,Advisory Board,Twitter,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397633530/47fa69c6f9510a95be80afc1d771f75d.jpg"
Nanea Reeves,http://www.crunchbase.com/person/nanea-reeves,Advisory Board,Teradata,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182577/55f1b424e4f9422044a1efd2203ec624.jpg"
Naomi O. Seligman,http://www.crunchbase.com/person/naomi-o-seligman,Board of Directors,Oracle,
Nathen Harvey,http://www.crunchbase.com/person/nathen-harvey,Advisory Board,AT&T,
Nick Ashton-Hart,http://www.crunchbase.com/person/nick-ashton-hart,Advisory Board,Google,
Nigel Vaz,http://www.crunchbase.com/person/nigel-vaz,Advisory Board,"AT&T, Vodafone","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180890/556a8fd8db1a5dfa12e5b6783048090a.jpg"
Nitin Suri,http://www.crunchbase.com/person/nitin-suri,Advisory Board,EMC,
Noah Glass,http://www.crunchbase.com/person/noah-glass-3,Founder,Twitter,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185147/661af9e9283cb386343ba610933867b2.jpg"
Norm Fjeldheim,http://www.crunchbase.com/person/norm-fjeldheim,Advisory Board,Oracle,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187402/5fe11111aa373756e55db717702ce1f8.jpg"
OB Bilous,http://www.crunchbase.com/person/ob-bilous,Board of Directors,IBM,
Oliver Tavakoli,http://www.crunchbase.com/person/oliver-tavakoli,Advisory Board,IBM,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186847/b07715c2f29630f04e131e4689ea36d2.jpg"
Parker Harris,http://www.crunchbase.com/person/parker-harris,Founder,Salesforce,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183757/9121c57046e76aca513169bfec09b7e9.jpg"
Patricia F. Russo,http://www.crunchbase.com/person/patricia-f-russo,Board of Directors,HP,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184976/55e1a907234e430a72122135b8c501bb.png"
Patricia Q. Stonesifer,http://www.crunchbase.com/person/patricia-q-stonesifer,Board of Directors,Amazon,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180971/dd05d9313a1b982bf4a9ec691b5af6ff.jpg"
Paul Allen,http://www.crunchbase.com/person/paul-allen,Founder,Microsoft,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180579/763f4412fd435db2f9e834c8a9afb400.jpg"
Paul Guerin,http://www.crunchbase.com/person/paul-guerin,Advisory Board,IBM,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185673/e464542a68ba14caffd6b9f239ceb74a.jpg"
Paul J. Ferri,http://www.crunchbase.com/person/paul-j-ferri,Board of Directors,Apple,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187427/06a0f9ee01981619b5017ca9f228799d.jpg"
Paul Madera,http://www.crunchbase.com/person/paul-madera,Board Observer,Facebook,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181465/e07953bb25d2e015b17aad6d4f905bbb.jpg"
Paul S. Otellini,http://www.crunchbase.com/person/paul-s-otellini,Board of Directors,Google,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182672/36214442f5b5a981d6b5f1b33bf8e62b.jpg"
Paul Sciarra,http://www.crunchbase.com/person/paul-sciarra,Founder,Pinterest,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181814/a9aab2d5eb687dcb6e822e6d8e1b5c60.jpg"
Per Karlsson,http://www.crunchbase.com/person/per-karlsson,Board of Directors,Nokia,
Peter Bamford,http://www.crunchbase.com/person/peter-bamford,Board of Directors,Vodafone,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181884/e8e2d6311125722a97d134d6ec0fbca7.jpg"
Peter Chernin,http://www.crunchbase.com/person/peter-chernin,Board of Directors,Twitter,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180567/ac3fec8bfc89a5e36739dd19d284b39f.jpg"
Peter Currie,http://www.crunchbase.com/person/peter-currie,Board of Directors,Twitter,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398456201/dyqngp0tqdvmsvuisnhb.jpg"
Peter Liguori,http://www.crunchbase.com/person/peter-liguori,Board of Directors,Yahoo,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186096/f7a865f51c767f83b93a74b17a1d888d.jpg"
Peter Thiel,http://www.crunchbase.com/person/peter-thiel,Board of Directors,Facebook,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1402335076/um7uxei10oibpiir46ku.jpg"
Philippe Germond,http://www.crunchbase.com/person/philippe-germond,Board of Directors,HP,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181608/5004e75f173c2690ceff2655bee871ce.jpg"
Pierre Omidyar,http://www.crunchbase.com/person/pierre-omidyar,Founder,eBay,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180264/ca75880b6e7a40b0a5e872a7968731eb.jpg"
Pradeep Sindhu,http://www.crunchbase.com/person/pradeep-sindhu-2,Founder,Juniper Networks,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185430/de983eda56f4f05f59fb551a1c68b8b2.jpg"
Prem Watsa,http://www.crunchbase.com/person/prem-watsa,Board of Directors,BlackBerry,
Priya Haji,http://www.crunchbase.com/person/priya-haji,Advisory Board,eBay,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181698/d0b82e2be8dd8a1ce669ca6c16434aac.jpg"
Raj L Gupta,http://www.crunchbase.com/person/raj-l-gupta,Board of Directors,HP,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397633181/57ea59278794e4bf48d714993a902d8b.png"
Raj Parekh,http://www.crunchbase.com/person/raj-parekh-2,Advisory Board,SAP,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185078/25199872ae68e91b15a5e34cfafb0bb6.png"
Rajiv L. Gupta,http://www.crunchbase.com/person/rajiv-l-gupta,Board of Directors,HP,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184961/48a4121b45e3793879bb76197202f176.jpg"
Ralph V. Whitworth,http://www.crunchbase.com/person/ralph-v-whitworth,Board of Directors,HP,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184979/3076be338f47a9232c6ae0623b9eeb2d.jpg"
Ram Shriram,http://www.crunchbase.com/person/ram-shriram,Board of Directors,Google,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180505/5c6bbe5498cc36b10fc127ca73ccae45.jpg"
Ramzy Abdul-Majeed,http://www.crunchbase.com/person/ramzy-abdul-majeed,Advisory Board,BlackBerry,
Randy Adams,http://www.crunchbase.com/person/randy-adams,Board of Directors,Yahoo,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182993/85f90d325e8c84c6c8fefd568ae15b5c.jpg"
Randy Glein,http://www.crunchbase.com/person/randy-glein,Board of Directors,Twitter,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183762/7a7aab3a69ba61de062810b205206d66.jpg"
Ravi Srivatsav,http://www.crunchbase.com/person/ravi-srivatsav-krishnamurthy,Advisory Board,IBM,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184022/e8c1651e73891c5b7bb653b1c23ab0e7.jpg"
Raymond J. Lane,http://www.crunchbase.com/person/raymond-j-lane,Board of Directors,HP,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184968/217a4365e54aaa5c151d80fd48ec532b.jpg"
Reid Hoffman,http://www.crunchbase.com/person/reid-hoffman,Founder,LinkedIn,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180526/e5f093141d6f9dd1da2f46f39fea5a26.jpg"
Reuben V. Anderson,http://www.crunchbase.com/person/reuben-v-anderson,Board of Directors,AT&T,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188546/e904398228c32abf804ad923e12d5716.jpg"
Rich Warwick,http://www.crunchbase.com/person/rich-warwick,Advisory Board,IBM,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186535/5ce36ba25f52c68935af6e93191654ed.jpg"
Richard L. Carrion,http://www.crunchbase.com/person/richard-l-carrion,Board of Directors,Verizon Communications,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187580/09d3f891994872abe6037b06bb9a01e4.jpg"
Richard Lynch,http://www.crunchbase.com/person/richard-lynch,Board of Directors,BlackBerry,
Richard M. Kovacevich,http://www.crunchbase.com/person/richard-m-kovacevich,Board of Directors,Cisco Systems,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187249/4abb5d3549f97a25cdbb82552b136998.jpg"
Rick Bortles,http://www.crunchbase.com/person/rick-bortles,Advisory Board,Intel,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186123/453e734a91489bd6983a6a734d066f7c.jpg"
Rob Burgess,http://www.crunchbase.com/person/rob-burgess,Board of Directors,Adobe,
Robert A. Iger,http://www.crunchbase.com/person/robert-a-iger,Board of Directors,Apple,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185908/62bc249bbddee74a9544e16698215d18.jpg"
Robert Burgess,http://www.crunchbase.com/person/robert-burgess-2,Board of Directors,Adobe,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185439/7060813cdb42dcf1e13943f95afb1a55.jpg"
Robert Kotick,http://www.crunchbase.com/person/robert-kotick,Board of Directors,Yahoo,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184100/6a4389446fc01e1029f25cf00b84ce5f.jpg"
Robert S. Miller,http://www.crunchbase.com/person/robert-s-miller,Board of Directors,Symantec,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180273/81202ca940d38ca20e59d96be38c1d7a.jpg"
Robert Sedgewick,http://www.crunchbase.com/person/robert-sedgewick,Board of Directors,Adobe,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185455/a72600d1f33b114191ca8bb08021507c.jpg"
Robert W. Lane,http://www.crunchbase.com/person/robert-w-lane,Board of Directors,Verizon Communications,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186649/e4dd38445523eca10329700b05f78e69.jpg"
Roderick C. McGeary,http://www.crunchbase.com/person/roderick-c-mcgeary,Board of Directors,Cisco Systems,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187252/4011e3a0f872f3f2853787775b577df9.jpg"
Rodney E. Slater,http://www.crunchbase.com/person/rodney-e-slater,Board of Directors,Verizon Communications,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187657/8d86f673c2702e2fbce4f1b50776d9ae.jpg"
Roger Jiang,http://www.crunchbase.com/person/roger-jiang,Board of Directors,"Microsoft, SAP","http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181122/9e96a9113e53edaaff6cc060f5b5f199.jpg"
Rohan Chandrashekhar,http://www.crunchbase.com/person/rohan-chandrashekhar,Advisory Board,AT&T,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181432/e2f5d62e0b56bc1253878e38ebb88a7a.jpg"
Ron Anderson,http://www.crunchbase.com/person/ron-anderson,Advisory Board,EMC,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181454/9a2f5735db53ed4e895369ec6e3b2020.png"
Ron Burkle,http://www.crunchbase.com/person/ron-burkle,Board of Directors,Yahoo,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184099/5e29d8ff841d02b231ec23780fad7201.jpg"
Ronald D. Sugar,http://www.crunchbase.com/person/ronald-d-sugar,Board of Directors,Apple,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184439/028b2f6b95870918ab34fa97f9979051.jpg"
Ronald F.E. Weissman,http://www.crunchbase.com/person/ronald-f-e-weissman,Advisory Board,"Apple, IBM, Microsoft",
Ross Perot Jr.,http://www.crunchbase.com/person/ross-perot-jr,Board of Directors,Dell,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185241/5582806ec5fea2a77403fa132f419b1f.jpg"
Roy Bostock,http://www.crunchbase.com/person/roy-bostock,Board of Directors,Yahoo,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184094/f3d6540ee78037d1aa031d62df1badc4.jpg"
Russell M. Artzt,http://www.crunchbase.com/person/russell-m-artzt,Founder,CA Technologies,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186886/e7acec6f587257b7f9c6f7cfc431cc25.jpg"
S. Decker Anstrom,http://www.crunchbase.com/person/s-decker-anstrom,Board of Directors,Comcast,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189302/7e10c224ca088f7e7adac9eb99cd91ca.png"
Sam Pullara,http://www.crunchbase.com/person/sam-pullara,Advisory Board,Twitter,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187004/2ddc09ce3f46b1fd619c229ec726f229.png"
Sandra O. Moose,http://www.crunchbase.com/person/sandra-o-moose,Board of Directors,Verizon Communications,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187582/e01434c734dcd7817aa58ae47c2d22b3.jpg"
Sanford R. Robertson,http://www.crunchbase.com/person/sanford-r-robertson,Board of Directors,"Dropbox, Salesforce","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185873/b7ed1fdee9dbbd3043afc9f69620bd4e.jpg"
Scott Belsky,http://www.crunchbase.com/person/scott-belsky,Advisory Board,Pinterest,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181126/2f0a206fce5fdd6c997d611ecf8318f4.png"
Scott Cook,http://www.crunchbase.com/person/scott-cook,Board of Directors,eBay,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185385/bc48d989318725f81e3e2ca2d2239111.jpg"
Scott Gorton,http://www.crunchbase.com/person/scott-gorton,Advisory Board,IBM,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183856/1d35e16a0e8994987dca7c234a452831.jpg"
Scott Marshall,http://www.crunchbase.com/person/scott-marshall-2,Board of Directors,Nokia,
Scott Sandell,http://www.crunchbase.com/person/scott-sandell,Board of Directors,Salesforce,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181928/709102b350d742d7fd89cdc982cf1a9c.jpg"
Sean Ellis,http://www.crunchbase.com/person/sean-ellis,Advisory Board,Dropbox,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185868/88dda14eb5341bd18441e8d5dd33bf5a.jpg"
Sergey Brin,http://www.crunchbase.com/person/sergey-brin,Founder,Google,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398210031/rufnnyjsabvdbdbxvj3h.jpg"
Shantanu Narayen,http://www.crunchbase.com/person/shantanu-narayen,Board of Directors,Dell,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182807/f849269c8ff647ee1c5d4f9faa63d775.jpg"
Sheldon M. Bonovitz,http://www.crunchbase.com/person/sheldon-m-bonovitz,Board of Directors,Comcast,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180630/542069b69288e8e1877057143feb96f3.jpg"
Shellye Archambeau,http://www.crunchbase.com/person/shellye-archambeau,Board of Directors,Verizon Communications,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181855/afe10a2dd1ba0ae12023450abf8928fc.jpg"
Sherry Coutu,http://www.crunchbase.com/person/sherry-coutu,Advisory Board,LinkedIn,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183852/fc6e454b44d50530580d4bcc44cc0674.jpg"
Shirley M. Tilghman,http://www.crunchbase.com/person/shirley-m-tilghman,Board of Directors,Google,
Shumeet Banerji,http://www.crunchbase.com/person/shumeet-banerji,Board of Directors,HP,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184584/b532cd659e7f1eca6817adb7f79cf044.jpg"
Skip Battle,http://www.crunchbase.com/person/skip-battle,Board of Directors,LinkedIn,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181885/094788b69778f8bf5bbb08be779fa611.png"
Stan Meresman,http://www.crunchbase.com/person/stan-meresman,Board of Directors,LinkedIn,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180503/b9590ab77bbde943347ccf896461a10c.jpg"
Stephen J. Luczo,http://www.crunchbase.com/person/stephen-j-luczo,Board of Directors,Microsoft,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180247/9f9391155546b61bb406b01ea69d371b.jpg"
Stephen N. David,http://www.crunchbase.com/person/stephen-n-david,Advisory Board,HP,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185887/99aaeb8c22eb2ea89bf9304f8fe0ce0f.png"
Steve Case,http://www.crunchbase.com/person/steve-case,Founder,AOL,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181587/83459e129a5e4b5d78fb4868372580ee.jpg"
Steve Gomo,http://www.crunchbase.com/person/steve-gomo,Board of Directors,SanDisk,
Steve Jobs,http://www.crunchbase.com/person/steve-jobs,Founder,Apple,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181933/55c307936d65d45ecb58e30303d9054e.jpg"
Steve Millard,http://www.crunchbase.com/person/steve-millard,Advisory Board,IBM,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188531/149bf29455a3bbefc0e8a441393283ea.png"
Steve Wozniak,http://www.crunchbase.com/person/steve-wozniak,Founder,Apple,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182420/f2644a43c3bc1d816ef1bcd625040c57.jpg"
Steven M. West,http://www.crunchbase.com/person/steven-m-west,Board of Directors,Cisco Systems,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187088/3347361ceb616a416dee6257461bfd76.jpg"
Sue James,http://www.crunchbase.com/person/sue-james,Board of Directors,Yahoo,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180233/d529c2ab9febd39182d077c2835c1d98.jpg"
Susan Hockfield,http://www.crunchbase.com/person/susan-hockfield,Board of Directors,Qualcomm,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188508/3e5705c55fa1ec728158231f52b7168c.jpg"
Susan L. Decker,http://www.crunchbase.com/person/susan-l-decker,Board of Directors,Intel,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186257/212e348d73d5d8ff3ff71552664155a9.jpg"
Susan Lyne,http://www.crunchbase.com/person/susan-lyne,Board of Directors,AOL,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1401762305/bpcvsd0rbkndvltiwxoe.jpg"
Susan M. James,http://www.crunchbase.com/person/susan-m-james,Board of Directors,Yahoo,
Suzanne M. Vautrinot,http://www.crunchbase.com/person/suzanne-m-vautrinot,Board of Directors,Symantec,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184291/0f746edd52d52c2c223a7b6b588c08ac.jpg"
Terry Semel,http://www.crunchbase.com/person/terry-semel,Advisory Board,Yahoo,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182972/b803590957ace8dea6cbb9531ec4ba67.png"
Thomas J. Watson,http://www.crunchbase.com/person/thomas-j-watson,Founder,IBM,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1408171839/q7dlvzvjxbktprgk52so.jpg"
Thomas O. Ryder,http://www.crunchbase.com/person/thomas-o-ryder,Board of Directors,Amazon,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398457715/i2h7fzxazu6bkfx1lbcw.jpg"
Tim Guleri,http://www.crunchbase.com/person/tim-guleri,Board of Directors,EMC,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188876/3cd2775a221d0f687e20a92dfc0e43a8.jpg"
Timothy Dattels,http://www.crunchbase.com/person/timothy-dattels,Board of Directors,BlackBerry,
Tod Nielsen,http://www.crunchbase.com/person/tod-nielsen,Board of Directors,Microsoft,
Tom Alberg,http://www.crunchbase.com/person/tom-alberg,Board of Directors,Amazon,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180969/44f96b6f8022b2fad2f81551ee77a91d.jpg"
Tom Albert,http://www.crunchbase.com/person/tom-albert,Advisory Board,Cisco Systems,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188891/52acc3e0e891012ccb83154932a488f6.jpg"
Tom Perkins,http://www.crunchbase.com/person/tom-perkins,Board of Directors,"HP, Symantec","http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184700/98e996e843339cc7374ad5756bcb64c9.jpg"
Vyomesh Joshi,http://www.crunchbase.com/person/vyomesh-joshi,Board of Directors,Yahoo,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184099/1bc75809cf3da16efc4831d5e4c9292e.jpg"
Will Headapohl,http://www.crunchbase.com/person/will-headapohl,Advisory Board,Qualcomm,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183228/25bdf18f0393219cc20d16d9766a41b7.png"
Julian A. Brodsky,,Founder,Comcast,http://corporate.comcast.com/images/julian-brodsky-headshot-470x264.jpg
Daniel Aaron,,Founder,Comcast,http://www.ilctr.org/wp-content/uploads/2012/01/dan-aaron-small.jpg
Edward Rex,,Founder,Comcast,
Jack Yuan,,Founder,SanDisk,http://www.sandisk.com/assets/umbraco/aboutsandisk/Mangement/atsuhoshi/Atsuyoshi-Koike.jpg
Sanjay Mehrotra,,Founder,SanDisk,http://www.sandisk.com/assets/umbraco/aboutsandisk/Mangement/sanjay/Sanjay%20Mehrotra.jpg
Jerry Modes,,Founder,Teradata,http://danholle.com/facedbook/acc10/DSC_6710.JPG
David Hartke,,Founder,Teradata,http://danholle.com/facedbook/acc10/DSC_6720dhh.JPG
Charles R. Lee,,Founder,Verizon Communications,http://investor.directv.com/files/images/bod/Chuck_Lee.jpg
